Datums;Valsts;14DienuKumulativaIncidence;Izcelosana;Pasizolacija;PersIrVakcParslSert_PasizolacijaLatvija;PersIrVakcParslSert_TestsPirmsIebrauksanasLV;PersIrVakcParslSert_TestsPecIebrauksanasLV;CitasPersonas_PasizolacijaLatvija;CitasPersonas_TestsPirmsIebrauksanasLV;CitasPersonas_TestsPecIebrauksanasLV
2020.07.31.;Luksemburga;243.4;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Rumānija;75.1;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Andora;58.2;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Spānija;53.6;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Bulgārija;46.8;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Beļģija;35.8;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Zviedrija;31.5;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Portugāle;30.2;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Malta;28.4;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Monako;28;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Čehija;25.6;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Horvātija;25.3;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Šveice;20;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Austrija;19.7;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Francija;19;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Polija;15.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Nīderlande;15.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Apvienotā Karaliste;12.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Slovēnija;11.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Dānija;10.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Lihtenšteina;10.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Islande;10.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Vācija;8.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Īrija;6.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Kipra;6.1;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Sanmarīno;5.9;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Slovākija;5.8;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Itālija;5.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Lietuva;5.7;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Grieķija;4.3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Norvēģija;3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Latvija;2.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Igaunija;2.6;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Somija;2.4;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Ungārija;2.3;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Vatikāns;0;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Austrālija;16-25;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Maroka;16-25;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Kanāda;16-25;Izvērtēt brauciena nepieciešamību;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.07.31.;Gruzija;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Japāna;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Jaunzēlande;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Ruanda;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Dienvidkoreja;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Taizeme;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Tunisija;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Urugvaja;<16;Ievērot standarta piesardzību;Nav jāievēro;…;…;…;…;…;…
2020.07.31.;Citas valstis;...;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
